Date,Event ID,Time,Class
2023-11-06,31245211,14:00,Design Tech: Year 7: 7a/DTI
2023-11-07,29938279,08:40,Year 7: 7TL
2023-11-07,31247672,09:00,Spanish: Year 7: 7a/SpI
2023-11-07,31319998,09:55,PE Core: Year 7: 7a/PEY
2023-11-07,31237759,11:10,English Comb: Year 7: 7a/EnI
2023-11-07,31338024,12:05,Religious Ed: Year 7: 7a/RER
2023-11-07,29931919,13:30,Year 7: 7TL
2023-11-07,31242152,14:00,Maths: Year 7: 7a/MaI
2023-11-08,29952052,08:40,Year 7: 7TL
2023-11-08,31340404,09:00,Geography: Year 7: 7a/GeR
2023-11-08,31245579,09:55,English Comb: Year 7: 7a/EnI
2023-11-08,31343400,11:10,Religious Ed: Year 7: 7a/RER
2023-11-08,31344492,12:05,History: Year 7: 7a/HiR
2023-11-08,29962307,13:30,Year 7: 7TL
2023-11-08,31238656,14:00,Science: Year 7: 7a/ScI
2023-11-09,29963685,08:40,Year 7: 7TL
2023-11-09,31240404,09:00,Spanish: Year 7: 7a/SpI
2023-11-09,31339060,09:55,Music: Year 7: 7a/MuR
2023-11-09,31340516,11:10,History: Year 7: 7a/HiR
2023-11-09,31342336,12:05,Art and Design: Year 7: 7a/ArR
2023-11-09,29976215,13:30,Year 7: 7TL
2023-11-09,31248293,14:00,English Comb: Year 7: 7a/EnI
2023-11-10,29970876,08:40,Year 7: 7TL
2023-11-10,31335056,09:00,Religious Ed: Year 7: 7a/RER
2023-11-10,31337436,09:55,History: Year 7: 7a/HiR
2023-11-10,31241646,11:10,Maths: Year 7: 7a/MaI
2023-11-10,31243900,12:05,Design Tech: Year 7: 7a/DTI
2023-11-10,29974333,13:30,Year 7: 7TL
2023-11-10,31340208,14:00,Geography: Year 7: 7a/GeR
2023-11-13,29916934,08:40,Year 7: 7TL
2023-11-13,31246131,09:00,English Comb: Year 7: 7a/EnI
2023-11-13,31248753,09:55,Science: Year 7: 7a/ScI
2023-11-13,31336428,11:10,Art and Design: Year 7: 7a/ArR
2023-11-13,31338220,12:05,Computer Science: Year 7: 7a/CsR
2023-11-13,29926401,13:30,Year 7: 7TL
2023-11-13,31242612,14:00,Maths: Year 7: 7a/MaI
2023-11-14,29950213,08:40,Year 7: 7TL
2023-11-14,29860032,09:00,Year 7: 7TL
2023-11-14,31244797,09:55,Maths: Year 7: 7a/MaI
2023-11-14,31246453,11:10,Spanish: Year 7: 7a/SpI
2023-11-14,31343960,12:05,Music: Year 7: 7a/MuR
2023-11-14,29944580,13:30,Year 7: 7TL
2023-11-14,31238035,14:00,English Comb: Year 7: 7a/EnI
2023-11-15,29963924,08:40,Year 7: 7TL
2023-11-15,31239967,09:00,Maths: Year 7: 7a/MaI
2023-11-15,31243049,09:55,Science: Year 7: 7a/ScI
2023-11-15,31339620,11:10,History: Year 7: 7a/HiR
2023-11-15,31341804,12:05,Geography: Year 7: 7a/GeR
2023-11-15,29975272,13:30,Year 7: 7TL
2023-11-15,31246982,14:00,Science: Year 7: 7a/ScI
2023-11-16,29974622,08:40,Year 7: 7TL
2023-11-16,31334860,09:00,Religious Ed: Year 7: 7a/RER
2023-11-16,31239070,09:55,Maths: Year 7: 7a/MaI
2023-11-16,31240749,11:10,English Comb: Year 7: 7a/EnI
2023-11-16,31243394,12:05,Science: Year 7: 7a/ScI
2023-11-16,29987657,13:30,Year 7: 7TL
2023-11-16,31319618,14:00,PE Core: Year 7: 7a/PEY
2023-11-17,29982984,08:40,Year 7: 7TL
2023-11-17,31342896,09:00,Geography: Year 7: 7a/GeR
2023-11-17,31247212,09:55,English Comb: Year 7: 7a/EnI
2023-11-17,31335924,11:10,Religious Ed: Year 7: 7a/RER
2023-11-17,31239553,12:05,Science: Year 7: 7a/ScI
2023-11-17,29985559,13:30,Year 7: 7TL
2023-11-17,31319258,14:00,PE Core: Year 7: 7a/PEY
2023-11-20,29931393,08:40,Year 7: 7TL
2023-11-20,31334328,09:00,Drama: Year 7: 7a/DrR
2023-11-20,31336876,09:55,Computer Science: Year 7: 7a/CsR
2023-11-20,31240703,11:10,Spanish: Year 7: 7a/SpI
