Date,Event ID,Time,Class
2023-12-11,31336485,11:10,Art and Design: Year 7: 7a/ArR
2023-12-11,31338333,12:05,Computer Science: Year 7: 7a/CsR
2023-12-11,29977631,13:30,Year 7: 7VP
2023-12-11,31219751,14:00,Maths: Year 7: 7a/MaG
2023-12-12,30086901,08:40,Year 7: 7VP
2023-12-12,29866507,09:00,Year 7: 7VP
2023-12-12,31222028,09:55,Maths: Year 7: 7a/MaG
2023-12-12,31224489,11:10,Science: Year 7: 7a/ScG
2023-12-12,31344017,12:05,Music: Year 7: 7a/MuR
2023-12-12,30071265,13:30,Year 7: 7VP
2023-12-12,31215243,14:00,English Comb: Year 7: 7a/EnG
2023-12-13,29990744,08:40,Year 7: 7VP
2023-12-13,31217244,09:00,Maths: Year 7: 7a/MaG
2023-12-13,31220441,09:55,Spanish: Year 7: 7a/SpG
2023-12-13,31339677,11:10,History: Year 7: 7a/HiR
2023-12-13,31341861,12:05,Geography: Year 7: 7a/GeR
2023-12-13,30083434,13:30,Year 7: 7VP
2023-12-13,31223822,14:00,Science: Year 7: 7a/ScG
